Condition #,Replicate #,P1: DNA  (µg/µL),P2: T7 RNAP (U/µL),Time (min),Mass (mg),ATP,UTP,CTP,GTP
4,3,0.035236,32.4,19.73333333,5.98,1.140032708,2.621252396,1.109167097,1.333925612
4,3,0.035236,32.4,30.08333333,6.02,0,2.316907348,0.49103955,0.768352892
4,3,0.035236,32.4,40.1,6.02,0,2.165776358,0,0
5,1,0.029016,36.7,0,6.12,5.654690617,5.652969964,5.725201741,5.637326554
5,1,0.029016,36.7,10.16666667,5.87,3.373250402,4.485262817,3.552687013,3.541186134
5,1,0.029016,36.7,20.33333333,5.84,1.481913137,3.142340756,1.581297179,1.726329634
5,1,0.029016,36.7,29.9,5.92,0.618739946,2.664114448,0.733907226,0.952864616
5,2,0.029016,36.7,0,6.03,5.475285791,5.484823925,5.717982298,5.571485846
5,2,0.029016,36.7,9.966666667,5.98,3.003691153,4.001844899,3.14189278,3.298350364
5,2,0.029016,36.7,19.93333333,5.91,1.624119035,3.323241844,1.700911163,1.918287782
5,2,0.029016,36.7,30.11666667,6.39,0.643429491,2.617894873,0.728460377,0.975589889
5,3,0.029016,36.7,0,6.1,5.389969973,5.211390471,5.675959859,5.078802132
5,3,0.029016,36.7,10,5.94,3.241404826,4.312619109,3.514924958,3.538946854
5,3,0.029016,36.7,20.28333333,5.94,1.41319571,2.866272657,1.488302892,1.614368552
5,3,0.029016,36.7,29.96666667,5.95,0.606807507,2.852755049,0.766883159,0.915743412
6,1,0.06402,12,0,6.17,5.414389276,5.337241067,5.560993458,5.597228768
6,1,0.06402,12,9.666666667,5.89,3.480850402,4.17972812,3.661061543,3.650855131
6,1,0.06402,12,20.13333333,5.87,2.192830027,3.466372346,2.362011782,2.49625385
6,1,0.06402,12,29.96666667,5.92,1.146909383,2.726122475,1.33300376,1.418677945
6,2,0.06402,12,0,5.87,5.593371582,5.556591144,5.771765193,5.370990075
6,2,0.06402,12,10.03333333,5.87,3.341696515,4.200923097,3.48563512,3.529221141
6,2,0.06402,12,19.81666667,5.93,2.103672922,3.283234076,2.213736716,2.335577177
6,2,0.06402,12,29.88333333,5.89,1.243821984,2.949959865,1.382908736,1.588909206
6,3,0.06402,12,0,5.93,4.945145308,5.012841792,5.138920695,5.012975114
6,3,0.06402,12,9.933333333,5.8,3.205110992,3.901562662,3.306154347,3.345246174
